Feature1,Feature2
2.2483570765056164,1.9308678494144076
2.3238442690503462,2.761514928204013
1.882923312638332,1.8829315215254097
2.7896064077536957,2.3837173645764542
1.765262807032524,2.2712800217929825
1.7682911535937689,1.7671351232148715
2.1209811357830173,1.043359877671101
1.1375410837434836,1.7188562353795136
1.4935844398327882,2.157123666297637
1.5459879622393946,1.2938481493323541
2.732824384460777,1.887111849756732
2.033764102343962,1.2876259068932716
1.7278086377374087,2.055461294854933
1.4245032112888487,2.1878490091728358
1.6996806550405976,1.8541531251033616
1.6991466938853015,2.926139092254469
1.993251387631033,1.4711445355220498
2.4112724560515946,1.3895781750144889
2.104431797502378,1.020164938060112
1.3359069755507846,2.0984306179345618
2.3692332899977053,2.085684140594985
1.9421758588058797,1.8494481522053556
1.2607390048162863,1.6400778958026456
1.7696806145201063,2.5285611131094576
2.1718091447842305,1.118479922318633
2.1620419846973977,1.8074588597918417
1.6615389998470207,2.305838144420434
2.5154997612479755,2.4656400595580994
1.5803912383886807,1.8453938120743927
2.165631715701782,2.4877725635611796
1.760412881077355,1.9071705116680915
1.446832512996986,1.4018966879596646
2.406262911197099,2.6781200142854114
1.963994939209833,2.501766448946012
2.180818012523817,1.6774401226974378
2.180697802754207,2.7690182832329846
1.9820869804450243,2.782321827907003
0.6901274479551278,2.410951252187612
2.043523534119086,1.8504963247670663
2.045880388267751,1.0062155426995536
1.890164056081244,2.178556285755873
2.738947022370758,1.7408648908631763
1.5957531985534061,1.7491214782077318
2.457701058851037,2.1643755548298422
1.7351198981164806,2.256633716556678
2.0485387746740202,2.4843224952664444
1.6489734530613238,1.8361689267011159
1.8039459234339212,1.2682425259339407
2.148060138532288,2.1305276360899446
2.0025567283212307,1.8827064333124266
7.292314628974793,7.78967733861732
7.828642741736616,7.59886136538919
7.919357144166995,8.20202542840727
8.943092950605266,8.08728890641592
8.128775195361381,7.962777042116916
7.040614392350479,7.986743062275392
8.030115104970513,9.231621056242643
7.903819517609438,8.150773671166807
7.982644115147378,7.415660981190234
8.57141140725751,8.375966516343388
8.395515973521523,7.54530627260263
8.70139715546805,7.29907446860386
8.293428546900135,9.095227812904989
7.504731837434655,7.716851135198614
8.04982568254382,7.7482621729419
7.224668284466934,8.034281487403014
7.468848143136947,8.236796215317591
7.540287882883098,8.774967202508769
7.608373353831881,7.838969241897162
8.406758608684834,7.3845678417830225
8.113729967302065,8.653571377141214
7.196258382719386,8.092316929266152
8.129941397124211,8.390911435888656
7.381524644560959,7.339771693457862
8.26097078280845,8.148492336616593
8.125246425172937,8.173224104748488
7.659987639210755,8.116126848580501
8.146536236649341,7.642824290986816
8.932887255572378,8.236916460455895
7.404348251398676,8.328276804316914
7.5126591648863394,8.393542301871227
8.579297789503702,7.5896588408241445
8.48168806462216,8.20639046346825
8.411030079997245,8.948396491326974
7.877305941998565,7.623131917821255
7.555242785187239,7.592094857517281
7.961449145292948,8.170575987408322
8.13834539966501,8.413591624518013
8.006500945938953,8.726767038578659
7.867671583381022,9.36008458329481
8.312833673882503,7.571421221791859
7.4645537509694435,8.241236207621593
7.888268607337075,8.357000247046045
8.236618812286773,7.963585543671564
7.576603140965798,7.242576387657068
7.776742523966489,8.428199397161736
8.107046872065101,7.377130610644006
8.08659046292559,8.192658689864418
7.558071281899434,8.076862552972765
8.029104359223,7.428514851084689
5.178893680174141,5.280392263184117
5.541525621587638,5.526901026017452
4.311165316021454,4.531087480042439
5.25751763360433,5.256892975456104
5.257523843153024,6.92636574532736
5.285445255346583,5.567782820090299
5.477000881746601,5.325695625652899
4.842365377679827,5.379484610246633
4.613587392731214,4.881590696629996
4.757318226085448,5.040937069693161
6.157329283336754,4.066367403704126
5.343130095187257,4.193642064405174
4.764034067105284,5.544475298483683
5.0321400095477316,4.461127611035347
4.642348145370016,5.339798874467338
4.634816684141431,5.108229294790988
5.0227859199519065,4.674199826197092
6.071972044662663,5.316959511159006
3.9874287066711966,5.093227157384714
4.669106767615806,5.426216667398112
4.603739630783649,4.94263177926655
5.252493639490228,5.432877597085061
4.399851796472112,4.832749382079526
4.762527344419522,4.673335383713144
5.882727120140548,5.202490855480478
4.369558022832478,5.458930973527388
6.061078098506316,5.5162326302755735
4.2403150170229935,4.757882963566875
5.633455574593311,4.64616526719061
5.2219097140731146,5.387317026714668
4.536534764210958,4.9702373219691
3.379366329965464,4.487806179332855
4.87371592430342,4.376108409017576
5.816205651965817,4.284929311019684
4.779977756651508,5.065370288643046
5.720636644533058,4.2820689244102805
5.58158187607748,5.0051165305097935
4.509245674476024,5.231051737131636
5.0995298477867355,4.6998915614206025
5.03490104249501,4.80734320156912
5.056758672625624,5.331065337260523
5.7930084080726765,4.381092250586575
6.066516687328133,4.023956100238749
4.924107452482208,5.2941586032422885
5.140495933867516,4.688650240089703
4.895938874821362,4.753499532670584
4.705317621527894,5.4248010485105125
5.178507742982523,4.653545202369673
5.449799937716626,5.153649760438305
5.40643105941948,5.314814420961806
